Player-additional,Player,Tm,Age,Pos,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,RushFmb,Rec,RecYds,RecTD,RecFmb,2PM,Score
MorrJo02,Johnny Morris,CHI,31,WR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,49.0,0.0,0.0,0.0,7.4
NortDo00,Don Norton,SDG,28,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,0.0,0.0,0.0,7.0
MaliBi00,Bill Malinchak,DET,22,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,0.0,0.0,0.0,5.9
MazuFr00,Fred Mazurek,WAS,23,WR,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,0.0,3.8
ShofDe00,Del Shofner,NYG,32,WR,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,3.4
HutcTo00,Tom Hutchinson,ATL,25,WR,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,3.3
WalkWi00,Willie Walker,DET,24,WR,9,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,3.0
CrabEr00,Eric Crabtree,DEN,22,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,0.0,1.0,0.0,2.3
PittFr00,Frank Pitts,KAN,23,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.6
MenePe00,Pep Menefee,NYG,23,WR,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.6
BurrJo00,John Burrell,WAS,26,WR,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.4
FranJa00,Jason Franci,DEN,23,WR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.3
RadeBi00,Bill Rademacher,NYJ,24,WR,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.8
MattWe00,Wes Matthews,MIA,23,WR,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.0,0.0,0.5
RentLa00,Lance Rentzel,MIN,23,WR,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0,0.0,0.0
RobeWa00,Walter Roberts,CLE,24,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,3.0,0.0,-3.1
WeirSa00,Sammy Weir,NYJ,25,WR,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,-3.1
