Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
44,Jim Colclough,BOS,30,E,14,1,16,284,17.8,0,32,,1.1,20.3,1,ColcJi00
45,Charley Ferguson,BUF,27,TE,14,0,16,293,18.3,1,31,,1.1,20.9,0,FergCh00
46,Frank Jackson,MIA,27,LE,10,8,16,317,19.8,2,48,,1.6,31.7,0,JackFr00
47,Mike Garrett*,KAN,22,HB,14,4,15,175,11.7,1,36,,1.1,12.5,5,GarrMi00
48,Billy Cannon,OAK,29,TE,14,7,14,436,31.1,2,75,,1.0,31.1,0,CannBi00
49,Keith Lincoln,SDG,27,FB,14,7,14,264,18.9,2,67,,1.0,18.9,1,LincKe00
50,Charley Mitchell,DEN,26,HB,13,4,14,239,17.1,2,79,,1.1,18.4,3,MitcCh00
51,Larry Todd,OAK,24,FL,14,7,14,134,9.6,1,17,,1.0,9.6,1,ToddLa00
52,Cookie Gilchrist,MIA,31,FB,8,5,13,110,8.5,1,22,,1.6,13.8,1,GilcCo00
53,Billy Joe,MIA,26,FB,14,7,13,116,8.9,1,67,,0.9,8.3,3,JoexBi00
54,Charley Tolar,HOU,29,FB,14,10,13,68,5.2,0,14,,0.9,4.9,3,TolaCh00
55,Jim Allison,SDG,23,RB,14,3,12,99,8.3,0,20,,0.9,7.1,1,AlliJi00
56,Hoyle Granger,HOU,22,FB,11,4,12,104,8.7,1,26,,1.1,9.5,0,GranHo00
57,Paul Lowe,SDG,30,HB,14,11,12,41,3.4,0,11,,0.9,2.9,3,LowePa00
58,Bob Poole,HOU,25,TE,14,3,12,131,10.9,0,19,,0.9,9.4,0,PoolBo00
59,John Roderick,MIA,22,WR,6,4,11,156,14.2,1,64,,1.8,26.0,0,RodeJo00
60,Mark Smolinski,NYJ,27,FB,14,2,11,74,6.7,1,24,,0.8,5.3,0,SmolMa00
61,Glenn Bass,BUF,27,SE,14,3,10,130,13.0,0,19,,0.7,9.3,1,BassGl00
62,Howard Twilley,MIA,23,SE,6,1,10,128,12.8,0,20,,1.7,21.3,0,TwilHo00
63,Willie Frazier,SDG,24,TE,14,1,9,144,16.0,2,30,,0.6,10.3,0,FrazWi00
64,Emerson Boozer*,NYJ,23,HB,14,7,8,133,16.6,0,26,,0.6,9.5,0,BoozEm00
65,Rick Casares,MIA,35,FB,6,2,8,45,5.6,1,20,,1.3,7.5,0,CasaRi00
66,Wendell Hayes,DEN,26,FB,11,10,8,49,6.1,0,29,,0.7,4.5,0,HayeWe00
67,John Henry Johnson,HOU,37,FB,14,3,8,150,18.8,0,53,,0.6,10.7,0,JohnJo02
68,Jim Nance*+,BOS,24,FB,14,14,8,103,12.9,0,45,,0.6,7.4,7,NancJi00
69,Reggie Carolan,KAN,27,TE,14,0,7,154,22.0,3,45,,0.5,11.0,0,CaroRe00
70,Bill Cronin,MIA,23,TE,14,0,7,83,11.9,1,25,,0.5,5.9,0,CronBi00
71,Bake Turner,NYJ,26,SE,14,0,7,115,16.4,0,42,,0.5,8.2,2,TurnBa00
72,Joe Bellino,BOS,28,HB,11,0,6,77,12.8,1,25,,0.5,7.0,1,BellJo00
73,Ed Rutkowski,BUF,25,SE,14,0,6,150,25.0,1,55,,0.4,10.7,1,RutkEd00
74,Don Norton,SDG,28,LE,14,4,4,50,12.5,0,18,,0.3,3.6,0,NortDo00
75,Gene Mingo,MIA,28,K,14,1,3,40,13.3,0,21,,0.2,2.9,0,MingGe20
76,John Hadl,SDG,26,QB,14,12,2,-13,-6.5,0,4,,0.1,-0.9,4,HadlJo00
77,Darrell Lester,DEN,26,FB,11,4,2,26,13.0,1,21,,0.2,2.4,3,LestDa00
78,Doug Moreau,MIA,21,TE,3,0,2,15,7.5,0,9,,0.7,5.0,0,MoreDo00
79,Sammy Price,MIA,23,RB,14,0,2,14,7.0,0,9,,0.1,1.0,0,PricSa00
80,Tony Romeo,BOS,28,TE,14,6,2,46,23.0,0,29,,0.1,3.3,0,RomeTo00
