Player-additional,Player,Tm,Age,Pos,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,RushFmb,Rec,RecYds,RecTD,RecFmb,2PM,Score
CrowJo00,John David Crow,SFO,31,RB,14,2.0,4.0,61.0,0.0,1.0,121.0,477.0,1.0,1.0,30.0,341.0,3.0,1.0,0.0,119.24
GrosEa00,Earl Gros,PHI,26,RB,14,0.0,1.0,0.0,0.0,0.0,102.0,396.0,7.0,3.0,18.0,214.0,2.0,3.0,0.0,118.0
WheeEr00,Ernie Wheelwright,ATL,27,RB,14,0.0,0.0,0.0,0.0,0.0,121.0,458.0,3.0,2.0,15.0,137.0,3.0,2.0,0.0,99.0
HaynAb00,Abner Haynes,DEN,29,RB,14,0.0,2.0,0.0,0.0,2.0,129.0,304.0,2.0,11.0,46.0,480.0,1.0,11.0,0.0,93.4
BoozEm00,Emerson Boozer*,NYJ,23,RB,14,0.0,0.0,0.0,0.0,0.0,97.0,455.0,5.0,0.0,8.0,133.0,0.0,0.0,0.0,92.8
MattTo00,Tom Matte,BAL,27,RB,14,0.0,3.0,0.0,0.0,1.0,86.0,381.0,0.0,2.0,23.0,307.0,3.0,2.0,0.0,92.3
FostGe00,Gene Foster,SDG,24,RB,14,0.0,0.0,0.0,0.0,0.0,81.0,352.0,1.0,2.0,26.0,260.0,2.0,2.0,0.0,88.2
LowePa00,Paul Lowe,SDG,30,RB,14,1.0,3.0,25.0,0.0,0.0,146.0,643.0,3.0,3.0,12.0,41.0,0.0,3.0,0.0,87.4
MathBi00,Bill Mathis,NYJ,28,RB,14,0.0,0.0,0.0,0.0,0.0,72.0,208.0,2.0,2.0,22.0,379.0,1.0,2.0,0.0,83.7
LoriTo00,Tony Lorick,BAL,25,RB,14,0.0,0.0,0.0,0.0,0.0,143.0,524.0,3.0,2.0,12.0,81.0,0.0,2.0,0.0,80.5
WhitA.00,A.D. Whitfield,WAS,23,RB,14,0.0,0.0,0.0,0.0,0.0,93.0,472.0,2.0,3.0,18.0,101.0,1.0,3.0,0.0,78.3
LincKe00,Keith Lincoln,SDG,27,RB,14,2.0,4.0,71.0,1.0,0.0,58.0,214.0,1.0,1.0,14.0,264.0,2.0,1.0,0.0,77.64
WoodTo01,Tom Woodeshick,PHI,25,RB,14,0.0,0.0,0.0,0.0,0.0,85.0,330.0,4.0,2.0,10.0,118.0,1.0,2.0,0.0,75.8
HornPa00,Paul Hornung,GNB,31,RB,9,1.0,1.0,5.0,0.0,0.0,76.0,200.0,2.0,1.0,14.0,192.0,3.0,1.0,0.0,74.4
MoorLe00,Lenny Moore,BAL,33,RB,13,0.0,0.0,0.0,0.0,0.0,63.0,209.0,3.0,2.0,21.0,260.0,0.0,2.0,0.0,71.4
OsboDa00,Dave Osborn,MIN,23,RB,14,0.0,0.0,0.0,0.0,0.0,87.0,344.0,1.0,2.0,15.0,141.0,2.0,2.0,0.0,70.0
